sim_time, animated_rocket?world_pose/position/x
205.821, 10
205.822, 10
205.823, 10
205.824, 10
205.825, 10
205.826, 10
205.827, 10
205.828, 10
205.829, 10
205.83, 10
205.831, 10
205.832, 10
205.833, 10
205.834, 10
205.835, 10
205.836, 9.99976
205.837, 9.99976
205.838, 9.99976
205.839, 9.99976
205.84, 9.99976
205.841, 9.99976
205.842, 9.99976
205.843, 9.99976
205.844, 9.99976
205.845, 9.99976
205.846, 9.99976
205.847, 9.99976
205.848, 9.99976
205.849, 9.99976
205.85, 9.99976
205.851, 9.99976
205.852, 9.99976
205.853, 9.99976
205.854, 9.99976
205.855, 9.99976
205.856, 9.99976
205.857, 9.99976
205.858, 9.99976
205.859, 9.99976
205.86, 9.99976
205.861, 9.99976
205.862, 9.99976
205.863, 9.99976
205.864, 9.99976
205.865, 9.99976
205.866, 9.99976
205.867, 9.99976
205.868, 9.99976
205.869, 9.99976
205.87, 9.99768
205.871, 9.99768
205.872, 9.99768
205.873, 9.99768
205.874, 9.99768
205.875, 9.99768
205.876, 9.99768
205.877, 9.99768
205.878, 9.99768
205.879, 9.99768
205.88, 9.99768
205.881, 9.99768
205.882, 9.99768
205.883, 9.99768
205.884, 9.99768
205.885, 9.99768
205.886, 9.99768
205.887, 9.99768
205.888, 9.99768
205.889, 9.99768
205.89, 9.99768
205.891, 9.99768
205.892, 9.99768
205.893, 9.99768
205.894, 9.99768
205.895, 9.99768
205.896, 9.99768
205.897, 9.99768
205.898, 9.99768
205.899, 9.99768
205.9, 9.99768
205.901, 9.99768
205.902, 9.99768
205.903, 9.99768
205.904, 9.99285
205.905, 9.99285
205.906, 9.99285
205.907, 9.99285
205.908, 9.99285
205.909, 9.99285
205.91, 9.99285
205.911, 9.99285
205.912, 9.99285
205.913, 9.99285
205.914, 9.99285
205.915, 9.99285
205.916, 9.99285
205.917, 9.99285
205.918, 9.99285
205.919, 9.99285
205.92, 9.99285
205.921, 9.99285
205.922, 9.99285
205.923, 9.99285
205.924, 9.99285
205.925, 9.99285
205.926, 9.99285
205.927, 9.99285
205.928, 9.99285
205.929, 9.99285
205.93, 9.99285
205.931, 9.99285
205.932, 9.99285
205.933, 9.99285
205.934, 9.99285
205.935, 9.99285
205.936, 9.99285
205.937, 9.99285
205.938, 9.98787
205.939, 9.98787
205.94, 9.98787
205.941, 9.98787
205.942, 9.98787
205.943, 9.98787
205.944, 9.98787
205.945, 9.98787
205.946, 9.98787
205.947, 9.98787
205.948, 9.98787
205.949, 9.98787
205.95, 9.98787
205.951, 9.98787
205.952, 9.98787
205.953, 9.98787
205.954, 9.98787
205.955, 9.98787
205.956, 9.98787
205.957, 9.98787
205.958, 9.98787
205.959, 9.98787
205.96, 9.98787
205.961, 9.98787
205.962, 9.98787
205.963, 9.98787
205.964, 9.98787
205.965, 9.98787
205.966, 9.98787
205.967, 9.98787
205.968, 9.98787
205.969, 9.98787
205.97, 9.98787
205.971, 9.98787
205.972, 9.98223
205.973, 9.98223
205.974, 9.98223
205.975, 9.98223
205.976, 9.98223
205.977, 9.98223
205.978, 9.98223
205.979, 9.98223
205.98, 9.98223
205.981, 9.98223
205.982, 9.98223
205.983, 9.98223
205.984, 9.98223
205.985, 9.98223
205.986, 9.98223
205.987, 9.98223
205.988, 9.98223
205.989, 9.98223
205.99, 9.98223
205.991, 9.98223
205.992, 9.98223
205.993, 9.98223
205.994, 9.98223
205.995, 9.98223
205.996, 9.98223
205.997, 9.98223
205.998, 9.98223
205.999, 9.98223
206, 9.98223
206.001, 9.98223
206.002, 9.98223
206.003, 9.98223
206.004, 9.98223
206.005, 9.98223
206.006, 9.97971
206.007, 9.97971
206.008, 9.97971
206.009, 9.97971
206.01, 9.97971
206.011, 9.97971
206.012, 9.97971
206.013, 9.97971
206.014, 9.97971
206.015, 9.97971
206.016, 9.97971
206.017, 9.97971
206.018, 9.97971
206.019, 9.97971
206.02, 9.97971
206.021, 9.97971
206.022, 9.97971
206.023, 9.97971
206.024, 9.97971
206.025, 9.97971
206.026, 9.97971
206.027, 9.97971
206.028, 9.97971
206.029, 9.97971
206.03, 9.97971
206.031, 9.97971
206.032, 9.97971
206.033, 9.97971
206.034, 9.97971
206.035, 9.97971
206.036, 9.97971
206.037, 9.97971
206.038, 9.97971
206.039, 9.97971
206.04, 9.98292
206.041, 9.98292
206.042, 9.98292
206.043, 9.98292
206.044, 9.98292
206.045, 9.98292
206.046, 9.98292
206.047, 9.98292
206.048, 9.98292
206.049, 9.98292
206.05, 9.98292
206.051, 9.98292
206.052, 9.98292
206.053, 9.98292
206.054, 9.98292
206.055, 9.98292
206.056, 9.98292
206.057, 9.98292
206.058, 9.98292
206.059, 9.98292
206.06, 9.98292
206.061, 9.98292
206.062, 9.98292
206.063, 9.98292
206.064, 9.98292
206.065, 9.98292
206.066, 9.98292
206.067, 9.98292
206.068, 9.98292
206.069, 9.98292
206.07, 9.98292
206.071, 9.98292
206.072, 9.98292
206.073, 9.98292
206.074, 9.98977
206.075, 9.98977
206.076, 9.98977
206.077, 9.98977
206.078, 9.98977
206.079, 9.98977
206.08, 9.98977
206.081, 9.98977
206.082, 9.98977
206.083, 9.98977
206.084, 9.98977
206.085, 9.98977
206.086, 9.98977
206.087, 9.98977
206.088, 9.98977
206.089, 9.98977
206.09, 9.98977
206.091, 9.98977
206.092, 9.98977
206.093, 9.98977
206.094, 9.98977
206.095, 9.98977
206.096, 9.98977
206.097, 9.98977
206.098, 9.98977
206.099, 9.98977
206.1, 9.98977
206.101, 9.98977
206.102, 9.98977
206.103, 9.98977
206.104, 9.98977
206.105, 9.98977
206.106, 9.98977
206.107, 9.98977
206.108, 10.0056
206.109, 10.0056
206.11, 10.0056
206.111, 10.0056
206.112, 10.0056
206.113, 10.0056
206.114, 10.0056
206.115, 10.0056
206.116, 10.0056
206.117, 10.0056
206.118, 10.0056
206.119, 10.0056
206.12, 10.0056
206.121, 10.0056
206.122, 10.0056
206.123, 10.0056
206.124, 10.0056
206.125, 10.0056
206.126, 10.0056
206.127, 10.0056
206.128, 10.0056
206.129, 10.0056
206.13, 10.0056
206.131, 10.0056
206.132, 10.0056
206.133, 10.0056
206.134, 10.0056
206.135, 10.0056
206.136, 10.0056
206.137, 10.0056
206.138, 10.0056
206.139, 10.0056
206.14, 10.0056
206.141, 10.0056
206.142, 10.0306
206.143, 10.0306
206.144, 10.0306
206.145, 10.0306
206.146, 10.0306
206.147, 10.0306
206.148, 10.0306
206.149, 10.0306
206.15, 10.0306
206.151, 10.0306
206.152, 10.0306
206.153, 10.0306
206.154, 10.0306
206.155, 10.0306
206.156, 10.0306
206.157, 10.0306
206.158, 10.0306
206.159, 10.0306
206.16, 10.0306
206.161, 10.0306
206.162, 10.0306
206.163, 10.0306
206.164, 10.0306
206.165, 10.0306
206.166, 10.0306
206.167, 10.0306
206.168, 10.0306
206.169, 10.0306
206.17, 10.0306
206.171, 10.0306
206.172, 10.0306
206.173, 10.0306
206.174, 10.0306
206.175, 10.0306
206.176, 10.0672
206.177, 10.0672
206.178, 10.0672
206.179, 10.0672
206.18, 10.0672
206.181, 10.0672
206.182, 10.0672
206.183, 10.0672
206.184, 10.0672
206.185, 10.0672
206.186, 10.0672
206.187, 10.0672
206.188, 10.0672
206.189, 10.0672
206.19, 10.0672
206.191, 10.0672
206.192, 10.0672
206.193, 10.0672
206.194, 10.0672
206.195, 10.0672
206.196, 10.0672
206.197, 10.0672
206.198, 10.0672
206.199, 10.0672
206.2, 10.0672
206.201, 10.0672
206.202, 10.0672
206.203, 10.0672
206.204, 10.0672
206.205, 10.0672
206.206, 10.0672
206.207, 10.0672
206.208, 10.0672
206.209, 10.0672
206.21, 10.1125
206.211, 10.1125
206.212, 10.1125
206.213, 10.1125
206.214, 10.1125
206.215, 10.1125
206.216, 10.1125
206.217, 10.1125
206.218, 10.1125
206.219, 10.1125
206.22, 10.1125
206.221, 10.1125
206.222, 10.1125
206.223, 10.1125
206.224, 10.1125
206.225, 10.1125
206.226, 10.1125
206.227, 10.1125
206.228, 10.1125
206.229, 10.1125
206.23, 10.1125
206.231, 10.1125
206.232, 10.1125
206.233, 10.1125
206.234, 10.1125
206.235, 10.1125
206.236, 10.1125
206.237, 10.1125
206.238, 10.1125
206.239, 10.1125
206.24, 10.1125
206.241, 10.1125
206.242, 10.1125
206.243, 10.1125
206.244, 10.1652
206.245, 10.1652
206.246, 10.1652
206.247, 10.1652
206.248, 10.1652
206.249, 10.1652
206.25, 10.1652
206.251, 10.1652
206.252, 10.1652
206.253, 10.1652
206.254, 10.1652
206.255, 10.1652
206.256, 10.1652
206.257, 10.1652
206.258, 10.1652
206.259, 10.1652
206.26, 10.1652
206.261, 10.1652
206.262, 10.1652
206.263, 10.1652
206.264, 10.1652
206.265, 10.1652
206.266, 10.1652
206.267, 10.1652
206.268, 10.1652
206.269, 10.1652
206.27, 10.1652
206.271, 10.1652
206.272, 10.1652
206.273, 10.1652
206.274, 10.1652
206.275, 10.1652
206.276, 10.1652
206.277, 10.1652
206.278, 10.2278
206.279, 10.2278
206.28, 10.2278
206.281, 10.2278
206.282, 10.2278
206.283, 10.2278
206.284, 10.2278
206.285, 10.2278
206.286, 10.2278
206.287, 10.2278
206.288, 10.2278
206.289, 10.2278
206.29, 10.2278
206.291, 10.2278
206.292, 10.2278
206.293, 10.2278
206.294, 10.2278
206.295, 10.2278
206.296, 10.2278
206.297, 10.2278
206.298, 10.2278
206.299, 10.2278
206.3, 10.2278
206.301, 10.2278
206.302, 10.2278
206.303, 10.2278
206.304, 10.2278
206.305, 10.2278
206.306, 10.2278
