sim_time, animated_rocket?world_pose/position/z
208.229, 94.4076
208.23, 94.4076
208.231, 94.4076
208.232, 94.4076
208.233, 94.4076
208.234, 94.4076
208.235, 94.4076
208.236, 94.4076
208.237, 94.4076
208.238, 94.4076
208.239, 94.4076
208.24, 94.4076
208.241, 94.4076
208.242, 94.4076
208.243, 94.4076
208.244, 94.4076
208.245, 94.4076
208.246, 94.4076
208.247, 94.4076
208.248, 94.4076
208.249, 94.4076
208.25, 95.6712
208.251, 95.6712
208.252, 95.6712
208.253, 95.6712
208.254, 95.6712
208.255, 95.6712
208.256, 95.6712
208.257, 95.6712
208.258, 95.6712
208.259, 95.6712
208.26, 95.6712
208.261, 95.6712
208.262, 95.6712
208.263, 95.6712
208.264, 95.6712
208.265, 95.6712
208.266, 95.6712
208.267, 95.6712
208.268, 95.6712
208.269, 95.6712
208.27, 95.6712
208.271, 95.6712
208.272, 95.6712
208.273, 95.6712
208.274, 95.6712
208.275, 95.6712
208.276, 95.6712
208.277, 95.6712
208.278, 95.6712
208.279, 95.6712
208.28, 95.6712
208.281, 95.6712
208.282, 95.6712
208.283, 95.6712
208.284, 96.9019
208.285, 96.9019
208.286, 96.9019
208.287, 96.9019
208.288, 96.9019
208.289, 96.9019
208.29, 96.9019
208.291, 96.9019
208.292, 96.9019
208.293, 96.9019
208.294, 96.9019
208.295, 96.9019
208.296, 96.9019
208.297, 96.9019
208.298, 96.9019
208.299, 96.9019
208.3, 96.9019
208.301, 96.9019
208.302, 96.9019
208.303, 96.9019
208.304, 96.9019
208.305, 96.9019
208.306, 96.9019
208.307, 96.9019
208.308, 96.9019
208.309, 96.9019
208.31, 96.9019
208.311, 96.9019
208.312, 96.9019
208.313, 96.9019
208.314, 96.9019
208.315, 96.9019
208.316, 96.9019
208.317, 96.9019
208.318, 98.0854
208.319, 98.0854
208.32, 98.0854
208.321, 98.0854
208.322, 98.0854
208.323, 98.0854
208.324, 98.0854
208.325, 98.0854
208.326, 98.0854
208.327, 98.0854
208.328, 98.0854
208.329, 98.0854
208.33, 98.0854
208.331, 98.0854
208.332, 98.0854
208.333, 98.0854
208.334, 98.0854
208.335, 98.0854
208.336, 98.0854
208.337, 98.0854
208.338, 98.0854
208.339, 98.0854
208.34, 98.0854
208.341, 98.0854
208.342, 98.0854
208.343, 98.0854
208.344, 98.0854
208.345, 98.0854
208.346, 98.0854
208.347, 98.0854
208.348, 98.0854
208.349, 98.0854
208.35, 98.0854
208.351, 98.0854
208.352, 99.2786
208.353, 99.2786
208.354, 99.2786
208.355, 99.2786
208.356, 99.2786
208.357, 99.2786
208.358, 99.2786
208.359, 99.2786
208.36, 99.2786
208.361, 99.2786
208.362, 99.2786
208.363, 99.2786
208.364, 99.2786
208.365, 99.2786
208.366, 99.2786
208.367, 99.2786
208.368, 99.2786
208.369, 99.2786
208.37, 99.2786
208.371, 99.2786
208.372, 99.2786
208.373, 99.2786
208.374, 99.2786
208.375, 99.2786
208.376, 99.2786
208.377, 99.2786
208.378, 99.2786
208.379, 99.2786
208.38, 99.2786
208.381, 99.2786
208.382, 99.2786
208.383, 99.2786
208.384, 99.2786
208.385, 99.2786
208.386, 100.466
208.387, 100.466
208.388, 100.466
208.389, 100.466
208.39, 100.466
208.391, 100.466
208.392, 100.466
208.393, 100.466
208.394, 100.466
208.395, 100.466
208.396, 100.466
208.397, 100.466
208.398, 100.466
208.399, 100.466
208.4, 100.466
208.401, 100.466
208.402, 100.466
208.403, 100.466
208.404, 100.466
208.405, 100.466
208.406, 100.466
208.407, 100.466
208.408, 100.466
208.409, 100.466
208.41, 100.466
208.411, 100.466
208.412, 100.466
208.413, 100.466
208.414, 100.466
208.415, 100.466
208.416, 100.466
208.417, 100.466
208.418, 100.466
208.419, 100.466
208.42, 101.628
208.421, 101.628
208.422, 101.628
208.423, 101.628
208.424, 101.628
208.425, 101.628
208.426, 101.628
208.427, 101.628
208.428, 101.628
208.429, 101.628
208.43, 101.628
208.431, 101.628
208.432, 101.628
208.433, 101.628
208.434, 101.628
208.435, 101.628
208.436, 101.628
208.437, 101.628
208.438, 101.628
208.439, 101.628
208.44, 101.628
208.441, 101.628
208.442, 101.628
208.443, 101.628
208.444, 101.628
208.445, 101.628
208.446, 101.628
208.447, 101.628
208.448, 101.628
208.449, 101.628
208.45, 101.628
208.451, 101.628
208.452, 101.628
208.453, 101.628
208.454, 102.772
208.455, 102.772
208.456, 102.772
208.457, 102.772
208.458, 102.772
208.459, 102.772
208.46, 102.772
208.461, 102.772
208.462, 102.772
208.463, 102.772
208.464, 102.772
208.465, 102.772
208.466, 102.772
208.467, 102.772
208.468, 102.772
208.469, 102.772
208.47, 102.772
208.471, 102.772
208.472, 102.772
208.473, 102.772
208.474, 102.772
208.475, 102.772
208.476, 102.772
208.477, 102.772
208.478, 102.772
208.479, 102.772
208.48, 102.772
208.481, 102.772
208.482, 102.772
208.483, 102.772
208.484, 102.772
208.485, 102.772
208.486, 102.772
208.487, 102.772
208.488, 103.897
208.489, 103.897
208.49, 103.897
208.491, 103.897
208.492, 103.897
208.493, 103.897
208.494, 103.897
208.495, 103.897
208.496, 103.897
208.497, 103.897
208.498, 103.897
208.499, 103.897
208.5, 103.897
208.501, 103.897
208.502, 103.897
208.503, 103.897
208.504, 103.897
208.505, 103.897
208.506, 103.897
208.507, 103.897
208.508, 103.897
208.509, 103.897
208.51, 103.897
208.511, 103.897
208.512, 103.897
208.513, 103.897
208.514, 103.897
208.515, 103.897
208.516, 103.897
208.517, 103.897
208.518, 103.897
208.519, 103.897
208.52, 103.897
208.521, 103.897
208.522, 105.004
208.523, 105.004
208.524, 105.004
208.525, 105.004
208.526, 105.004
208.527, 105.004
208.528, 105.004
208.529, 105.004
208.53, 105.004
208.531, 105.004
208.532, 105.004
208.533, 105.004
208.534, 105.004
208.535, 105.004
208.536, 105.004
208.537, 105.004
208.538, 105.004
208.539, 105.004
208.54, 105.004
208.541, 105.004
208.542, 105.004
208.543, 105.004
208.544, 105.004
208.545, 105.004
208.546, 105.004
208.547, 105.004
208.548, 105.004
208.549, 105.004
208.55, 105.004
