sim_time, my_bot/altitude_joint?0/velocity
429.17, -5.82281e-22
429.171, 1.55133e-17
429.172, 5.0947e-23
429.173, -9.52519e-18
429.174, 2.03756e-22
429.175, -2.99426e-18
429.176, -2.99412e-18
429.177, -2.80329e-17
429.178, -1.25203e-17
429.179, -1.252e-17
429.18, 2.99281e-18
429.181, -2.99286e-18
429.182, -2.99322e-18
429.183, -5.98428e-18
429.184, -1.25213e-17
429.185, -1.25221e-17
429.186, -9.5297e-18
429.187, -2.99159e-18
429.188, 5.98273e-18
429.189, 2.99129e-18
429.19, 6.54086e-18
429.191, -9.53214e-18
429.192, 9.53308e-18
429.193, -1.25236e-17
429.194, -1.55136e-17
429.195, -2.98873e-18
429.196, 2.98924e-18
429.197, -5.97879e-18
429.198, -1.25241e-17
429.199, -1.85021e-17
429.2, 1.55131e-17
429.201, -1.55138e-17
429.202, -1.85008e-17
429.203, -2.98806e-18
429.204, 2.49402e-22
429.205, -1.25254e-17
429.206, -5.97421e-18
429.207, 2.98744e-18
429.208, 2.10315e-22
429.209, -1.5513e-17
429.21, -2.98663e-18
429.211, -9.54006e-18
429.212, -2.98656e-18
429.213, -2.98628e-18
429.214, -1.25274e-17
429.215, 2.98596e-18
429.216, -5.84238e-22
429.217, 5.96929e-18
429.218, 5.96908e-18
429.219, -2.98448e-18
429.22, 1.26816e-22
429.221, -1.55131e-17
429.222, -3.63275e-22
429.223, -1.55131e-17
429.224, -1.55136e-17
429.225, -1.55133e-17
429.226, 1.25302e-17
429.227, 3.50096e-22
429.228, 1.25301e-17
429.229, 1.25307e-17
429.23, 5.44721e-22
429.231, 1.7916e-24
429.232, 1.55129e-17
429.233, -1.55131e-17
429.234, -3.17946e-22
429.235, 1.55129e-17
429.236, -1.55118e-17
429.237, -1.55125e-17
429.238, 7.36249e-23
429.239, 2.98032e-18
429.24, 1.25325e-17
429.241, -1.5512e-17
429.242, 8.673e-23
429.243, -1.55121e-17
429.244, -2.97914e-18
429.245, 1.3765e-22
429.246, 5.95695e-18
429.247, -1.25341e-17
429.248, 2.97827e-18
429.249, -2.97817e-18
429.25, -1.25355e-17
429.251, 2.97795e-18
429.252, -7.21136e-23
429.253, -4.77136e-22
429.254, -2.97728e-18
429.255, 1.25359e-17
429.256, 1.25362e-17
429.257, 2.9759e-18
429.258, 2.97609e-18
429.259, -1.25364e-17
429.26, -2.97527e-18
429.261, -1.55129e-17
429.262, 1.8488e-17
429.263, 1.55131e-17
429.264, -1.84877e-17
429.265, -1.5512e-17
429.266, -2.97431e-18
429.267, 1.84873e-17
429.268, 2.97354e-18
429.269, -9.56454e-18
429.27, -1.84865e-17
429.271, 1.25389e-17
429.272, 1.55123e-17
429.273, -1.25394e-17
429.274, -2.97318e-18
429.275, -1.84855e-17
429.276, 2.9727e-18
429.277, 1.15192e-22
429.278, -1.55133e-17
429.279, -1.25407e-17
429.28, -7.78159e-23
429.281, -1.55129e-17
429.282, -1.84839e-17
429.283, -1.25412e-17
429.284, -1.25418e-17
429.285, -3.1024e-17
429.286, 9.57185e-18
429.287, 2.97026e-18
429.288, -1.84819e-17
429.289, 1.55121e-17
429.29, 9.57299e-18
429.291, 6.52944e-23
429.292, 5.22326e-23
429.293, -2.35443e-22
429.294, 1.25439e-17
429.295, -1.25443e-17
429.296, 7.11622e-22
429.297, -2.93225e-22
429.298, 1.2545e-17
429.299, 4.27065e-23
429.3, 2.96733e-18
429.301, -1.55127e-17
429.302, 5.13959e-22
429.303, 1.55122e-17
429.304, 1.55123e-17
429.305, 1.55122e-17
429.306, -2.96575e-18
429.307, -1.31547e-22
429.308, 2.00756e-16
429.309, -4.73009e-17
429.31, 1.71081e-16
429.311, -1.24228e-16
429.312, 1.00546e-16
429.313, 1.47455e-16
429.314, 1.00713e-16
429.315, -1.47519e-16
429.316, 2.30373e-17
429.317, 6.95261e-17
429.318, 1.00839e-16
429.319, -6.2057e-21
429.32, -5.91976e-20
429.321, 1.46876e-16
429.322, 2.29111e-17
429.323, 2.28307e-17
429.324, -2.2919e-17
429.325, 2.27294e-17
429.326, -2.27688e-17
429.327, -1.2412e-16
429.328, -1.52633e-19
429.329, -8.92623e-20
429.33, 1.80298e-16
429.331, -1.01586e-16
429.332, 1.01412e-16
429.333, -7.94336e-20
429.334, 1.01697e-16
429.335, 1.46191e-16
429.336, 1.01554e-16
429.337, 1.23827e-16
429.338, -1.23969e-16
429.339, 1.01756e-16
429.34, -7.99565e-17
429.341, -1.24093e-16
429.342, 1.01872e-16
429.343, -5.26899e-20
429.344, -5.84334e-17
429.345, 2.26089e-16
429.346, -2.17378e-17
429.347, -2.17469e-17
429.348, -2.16592e-17
429.349, 4.30558e-17
429.35, -1.02353e-16
429.351, -1.35654e-19
429.352, 1.23929e-16
429.353, 1.23717e-16
429.354, -1.32525e-20
429.355, -2.13701e-17
429.356, -1.23976e-16
429.357, 2.476e-16
429.358, -5.46924e-20
429.359, -4.04466e-20
429.36, 1.44789e-16
429.361, 2.10442e-17
429.362, -9.32073e-20
429.363, -4.66654e-20
429.364, -2.09159e-17
429.365, 2.21082e-20
429.366, -5.2013e-20
429.367, 8.18761e-20
429.368, -1.23724e-16
429.369, -2.05952e-17
429.37, -1.23694e-16
429.371, -1.40477e-19
429.372, 3.77278e-20
429.373, -1.82634e-19
429.374, -1.23793e-16
429.375, 1.03323e-16
429.376, 2.01105e-17
429.377, 1.84559e-20
429.378, 2.27024e-16
429.379, -1.99608e-17
429.38, 2.47115e-16
429.381, -1.03549e-16
429.382, -8.55177e-20
429.383, 1.98576e-17
429.384, -7.10166e-22
429.385, -1.03789e-16
429.386, 8.41102e-17
429.387, 1.23355e-16
429.388, -1.23469e-16
429.389, 1.03858e-16
429.39, -8.45451e-17
429.391, -1.0106e-19
429.392, 1.42737e-16
429.393, 1.04034e-16
429.394, -1.23367e-16
429.395, -1.23379e-16
429.396, 1.91567e-17
429.397, 1.04169e-16
429.398, 3.8086e-17
429.399, -1.25455e-19
429.4, 1.04351e-16
429.401, -4.55631e-20
429.402, -1.10816e-19
429.403, -1.04517e-16
429.404, -1.8803e-17
429.405, -5.91602e-20
429.406, 1.04428e-16
429.407, -2.49329e-20
429.408, 1.23124e-16
429.409, -1.41782e-16
429.41, -1.04736e-16
429.411, 2.27848e-16
429.412, -1.04857e-16
429.413, -1.2316e-16
429.414, -2.2805e-16
429.415, 1.81226e-17
429.416, 2.15861e-20
429.417, -3.61402e-17
429.418, -8.76285e-20
429.419, -1.47621e-20
429.42, 4.99578e-22
429.421, -2.10332e-16
429.422, 1.78642e-17
429.423, 1.77439e-17
429.424, -2.10393e-16
429.425, -1.05346e-16
429.426, -1.05409e-16
429.427, -3.51475e-17
429.428, -1.229e-16
429.429, 1.74568e-17
429.43, -1.22868e-16
429.431, -1.05482e-16
429.432, -1.72489e-17
429.433, -3.06898e-20
429.434, -1.39999e-16
429.435, -1.05733e-16
429.436, -2.11338e-16
429.437, 8.84839e-17
429.438, -1.22739e-16
429.439, 1.6829e-17
429.44, -1.22655e-16
429.441, 2.45185e-16
429.442, 1.67089e-17
429.443, -3.56545e-20
429.444, 1.05819e-16
429.445, 1.22468e-16
429.446, -2.32417e-19
429.447, -1.39199e-16
429.448, -8.97516e-17
429.449, -1.63724e-17
429.45, 8.96097e-17
429.451, -1.22454e-16
429.452, -1.40604e-19
429.453, -1.22491e-16
429.454, 1.222e-16
429.455, 1.22259e-16
429.456, 1.0616e-16
429.457, -2.28702e-16
429.458, -1.06427e-16
429.459, 1.58128e-17
429.46, 9.05209e-17
429.461, 1.22121e-16
429.462, 1.22096e-16
429.463, -1.06721e-16
429.464, 2.28702e-16
429.465, -1.22234e-16
429.466, 1.06625e-16
429.467, -1.54333e-17
429.468, -1.06757e-16
429.469, -9.14386e-17
429.47, -1.2207e-16
429.471, 1.06705e-16
429.472, 1.501e-17
429.473, -2.28848e-16
429.474, -1.06158e-19
429.475, 1.36861e-16
429.476, -1.50342e-17
429.477, -2.43749e-16
429.478, -2.14047e-16
429.479, 4.42752e-16
429.48, -6.84448e-20
429.481, -1.21886e-16
429.482, -4.12988e-20
429.483, 1.0703e-16
429.484, 1.43247e-17
429.485, -1.72075e-19
429.486, -2.43267e-16
429.487, -1.16754e-19
429.488, -1.07363e-16
429.489, -2.28914e-16
429.49, -3.20654e-20
429.491, 1.07317e-16
429.492, -4.78862e-20
429.493, 1.21356e-16
429.494, 1.07314e-16
429.495, -1.21487e-16
429.496, -4.41323e-20
429.497, -4.77691e-20
429.498, -1.38948e-17
429.499, 1.2798e-16
429.5, -8.53571e-20
429.501, -2.35723e-16
429.502, -1.21302e-16
429.503, 2.02049e-17
429.504, -8.42334e-20
429.505, -6.86535e-18
429.506, -1.21109e-16
429.507, -8.27044e-20
429.508, 6.57877e-18
429.509, -1.1448e-16
429.51, 1.144e-16
429.511, -1.24009e-19
429.512, -2.09429e-16
429.513, 6.35335e-18
429.514, -6.52584e-18
429.515, 2.15938e-16
429.516, -9.11673e-20
429.517, -6.53162e-18
429.518, 1.25997e-17
429.519, 1.14299e-16
429.52, -1.97585e-19
429.521, -1.71302e-19
429.522, -7.26124e-20
429.523, -1.2454e-17
429.524, -6.18519e-18
429.525, 6.12408e-18
429.526, -1.08398e-16
429.527, 1.14288e-16
429.528, 1.20415e-16
429.529, 2.22702e-16
429.53, -1.20466e-16
429.531, -1.14492e-16
429.532, 1.26291e-16
429.533, -6.96873e-20
429.534, -9.9434e-20
429.535, -9.4492e-20
429.536, 5.76935e-18
429.537, -9.15029e-20
429.538, -1.14518e-16
429.539, -2.28841e-16
429.54, -1.03045e-16
429.541, 1.14202e-16
429.542, -2.34497e-16
429.543, 1.02976e-16
429.544, -1.0879e-16
429.545, -1.03153e-16
429.546, -1.25594e-16
429.547, -7.57908e-20
429.548, -1.08889e-16
429.549, 1.08749e-16
