# Simulation 1 (Up to date)
# 279 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.228,76.522,44.856,-20.129,45.352,20.298,8.227,2.608e-4,8.227,0.002,6.685,2.61,0.206,-6.554e-8,0.015,-5.014e-5,100.595,0,1.071
2.258,77.877,44.248,-19.918,44.739,20.038,8.429,2.79e-4,8.429,0.002,6.61,2.196,0.066,-1.244e-7,0.023,-1.202e-4,100.595,0,1.042
2.304,79.875,43.344,-19.638,43.834,19.692,8.729,3.091e-4,8.729,0.002,6.532,1.465,0.202,-1.32e-7,-0.013,-3.44e-6,100.595,0,1
2.332,81.076,42.8,-19.416,43.29,19.462,8.911,3.271e-4,8.911,0.002,6.495,1.335,0.248,-7.613e-8,-0.004,-8.665e-6,100.595,0,0.975
2.36,82.265,42.261,-19.135,42.751,19.194,9.092,3.444e-4,9.092,0.002,6.455,1.505,0.165,-5.817e-8,0.005,-2.684e-5,100.595,0,0.951
2.402,84.02,41.468,-18.701,41.956,18.794,9.361,3.688e-4,9.361,0.002,6.384,1.871,0.021,-8.761e-8,-0.009,-1.492e-4,100.595,0,0.916
2.452,86.07,40.545,-18.258,41.029,18.37,9.678,3.972e-4,9.678,0.002,6.283,2.022,0.13,-7.73e-8,-0.002,-1.649e-5,100.595,0,0.875
2.501,88.067,39.645,-17.901,40.125,17.995,9.988,4.266e-4,9.988,0.002,6.184,1.843,0.087,-3.611e-8,0.006,2.181e-5,100.595,0,0.836
2.551,90.027,38.759,-17.554,39.235,17.639,10.295,4.573e-4,10.295,0.003,6.094,1.729,0.059,-3.616e-8,0.012,2.094e-5,100.595,0,0.8
2.601,91.943,37.889,-17.243,38.363,17.31,10.597,4.884e-4,10.597,0.003,6.013,1.516,0.027,-7.84e-9,-0.013,-3.807e-5,100.595,0,0.765
2.651,93.816,37.036,-16.899,37.508,16.972,10.896,5.202e-4,10.896,0.003,5.935,1.569,0.019,-4.161e-8,0.014,-2.846e-4,100.595,0,0.732
2.701,95.647,36.196,-16.652,36.669,16.692,11.191,5.537e-4,11.191,0.003,5.87,1.154,0.182,-7.796e-8,-0.007,2.957e-6,100.595,0,0.699
2.748,97.3,35.435,-16.315,35.909,16.374,11.461,5.86e-4,11.461,0.003,5.812,1.388,0.027,-1.027e-7,-0.002,2.436e-5,100.595,0,0.671
2.798,99.052,34.628,-15.967,35.1,16.049,11.75,6.216e-4,11.75,0.003,5.735,1.618,0.144,-4.201e-8,0.006,9.86e-6,100.595,0,0.641
2.848,100.763,33.837,-15.719,34.307,15.781,12.034,6.575e-4,12.034,0.003,5.659,1.396,0.041,-3.803e-8,0.01,4.708e-5,100.595,0,0.612
2.898,102.436,33.057,-15.454,33.527,15.513,12.316,6.933e-4,12.316,0.003,5.59,1.345,0.034,-1.165e-7,0.012,6.167e-5,100.595,0,0.585
2.948,104.069,32.291,-15.206,32.76,15.259,12.594,7.297e-4,12.594,0.003,5.525,1.266,0.006,1.39e-8,0.013,-8.826e-4,100.595,0,0.559
2.998,105.665,31.538,-14.931,32.006,14.995,12.868,7.675e-4,12.868,0.003,5.459,1.381,0.11,-5.471e-8,0.016,-6.569e-5,100.595,0,0.535
